wgt,female,age,educ,inc_q,emp_in,urbanicity,account_fin,account_mob,account,dig_account,borrowed,saved,receive_wages,receive_transfers,receive_pensions,receive_agriculture,merchantpay_dig,pay_utilities,domestic_remittances,anydigpayment,fin2,fin17a,fin17c,fin19,fin20,fin22a,fin22b,fin22d,fin22e,fin22f,fin24,fin24a,fin24b,fin24c,fh1,fh2,fh2a,fin30,fin32,fin37,fin38,fin42,fin45,internet_use,con1,con24
1.080195206,2,42,2,3,1,2,1,0,1,1,1,0,1,4,4,4,0,2,3,1,1,2,2,2,2,2,2,2,2,1,5,1,1,2,2,2,2,1,1,2,2,2,3,0,1,2
1.000361293,1,45,1,5,1,2,1,0,1,0,1,0,2,4,4,4,0,1,3,1,1,2,2,2,2,2,2,1,2,2,8,,1,1,2,2,2,1,1,2,2,2,4,1,1,1
1.706703815,1,16,2,5,2,1,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,2,2,2,2,2,2,2,2,2,4,2,1,2,2,2,1,2,2,2,2,2,5,1,1,1
1.588354165,2,38,2,2,1,1,1,0,1,1,1,1,1,4,4,2,1,2,3,1,1,1,2,1,2,2,2,2,2,1,2,2,4,1,2,2,2,1,1,2,2,1,6,1,1,1
1.129282705,2,19,2,2,2,2,0,0,0,0,0,0,4,4,4,4,0,4,2,0,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,4,1,2,1
2.029631638,1,54,1,1,2,1,1,0,1,0,1,0,4,1,4,4,0,1,3,1,2,2,2,2,2,2,2,1,2,2,2,1,3,2,2,2,1,1,2,1,2,2,4,0,2,2
0.646737364,2,71,2,1,2,1,1,0,1,0,1,0,4,4,4,4,0,2,2,0,2,2,2,2,2,2,1,1,2,2,7,,2,1,2,1,2,1,2,2,2,2,3,0,1,2
0.907696447,1,42,2,4,2,1,1,0,1,1,1,1,3,4,4,4,0,4,3,0,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,4,0,1,2
0.183241411,1,54,2,1,2,1,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,5,0,2,2
2.495424051,2,26,1,3,1,1,1,0,1,0,1,1,2,4,4,4,0,1,3,1,2,2,1,2,2,1,2,2,2,2,4,2,2,1,2,2,2,1,1,2,2,2,4,1,1,1
0.626048615,1,89,1,4,2,1,1,0,1,0,0,0,4,1,1,4,0,4,2,1,2,2,2,2,2,2,2,2,2,2,8,,5,2,2,1,2,2,2,1,1,2,4,0,2,2
0.291473407,1,64,1,2,2,2,1,0,1,0,0,1,4,1,1,4,0,2,3,1,2,1,2,2,2,2,2,2,2,2,5,1,1,1,2,2,2,1,2,1,1,2,3,0,1,2
0.183241411,1,55,1,5,2,1,1,0,1,0,1,0,4,3,4,4,0,4,3,0,2,2,2,2,2,2,1,2,2,1,5,1,4,1,2,2,2,2,2,1,2,2,4,0,1,2
1.218994739,1,35,2,4,2,1,0,0,0,0,1,0,4,4,4,4,0,4,3,0,2,2,2,2,2,2,2,2,2,1,3,1,4,2,2,2,2,2,2,2,2,2,4,0,1,2
0.785093558,1,80,2,2,2,1,1,0,1,0,0,1,4,2,4,4,0,4,3,0,2,1,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,1,2,2,1,0,2,2
0.812995915,1,39,2,5,1,2,1,0,1,1,1,0,1,4,4,4,0,1,1,1,1,2,2,2,2,1,1,2,2,2,3,2,4,2,2,1,2,1,1,2,2,2,4,1,1,1
0.454703228,1,56,1,2,2,1,1,0,1,0,1,0,4,3,4,4,0,4,3,0,2,2,2,2,2,2,2,1,2,2,7,,3,2,2,2,2,2,2,1,2,2,3,0,1,2
1.000361293,1,54,2,5,2,2,1,0,1,0,0,0,4,4,4,4,0,4,3,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,0,1,2
0.442636541,2,24,2,4,1,2,1,0,1,1,0,0,4,4,4,2,0,4,3,0,1,2,2,2,2,2,2,2,2,2,3,2,4,2,2,2,2,2,2,2,2,1,4,1,1,1
0.287753146,2,73,1,5,2,2,1,0,1,0,0,1,4,4,1,4,0,4,3,1,2,1,2,2,2,2,2,2,2,2,1,3,6,2,2,2,2,2,2,2,1,2,4,0,1,2
0.183241411,1,65,1,1,2,2,1,0,1,0,0,0,4,4,4,4,0,1,3,1,2,2,2,2,2,2,2,2,2,2,7,,1,2,2,2,2,1,2,2,2,2,4,0,2,3
0.512080548,1,24,3,1,2,2,1,0,1,0,1,0,4,4,4,4,0,1,3,1,2,2,2,2,2,2,2,2,2,1,5,1,1,2,2,2,2,1,2,2,2,2,4,0,2,2
0.531775891,1,42,1,1,2,1,1,0,1,0,1,0,4,4,4,4,0,2,3,0,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,4,0,1,2
0.321503735,1,20,2,1,2,1,1,0,1,0,0,0,4,4,4,4,0,2,3,0,1,2,2,2,2,2,2,2,2,2,2,1,4,1,2,2,1,1,2,2,2,2,4,0,1,2
