"year","economy","economycode","regionwb","pop_adult","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity","account_fin","account_mob","account","dig_account","borrowed","saved","receive_wages","receive_transfers","receive_pensions","receive_agriculture","merchantpay_dig","pay_utilities","domestic_remittances","anydigpayment","fin2","fin3","fin4","fin5","fin6","fin8","fin9a","fin9b","fin10","fin17a","fin17c","fin18","fin19","fin20","fin22a","fin22b","fin22d","fin22e","fin22f","fin23","fin24","fin24a","fin24b","fin24c","fin25e1","fin25e2","fin25e4","fin26a","fin26b","fh1","fh2","fh2a","fin30","fin32","fin37","fin38","fin42","fin45","internet_use","con1","con9","con11","con12","con14","con17","con18","con20","con21","con23","con24","con25"
2024,"Sri Lanka","LKA","South Asia",17109247,204116927,0.712894723235156,1,23,2,2,2,2,1,0,1,1,1,0,2,4,4,4,0,4,3,0,1,1,1,3,3,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,3,1,2,2,2,2,4,2,2,2,2,2,2,1,2,2,2,5,1,1,1,2,1,1,1,1,2,2,2,2,1
2024,"Sri Lanka","LKA","South Asia",17109247,116210478,0.844545963620757,2,37,2,5,1,1,1,0,1,1,1,1,4,4,4,4,0,1,3,1,1,1,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1,2,5,2,3,2,2,2,4,2,2,2,2,2,1,2,2,2,2,4,0,1,2,1,1,1,1,2,2,1,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,144980561,1.00992904789957,1,54,1,2,2,1,1,0,1,0,1,0,4,1,4,4,0,4,3,1,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,5,1,4,1,2,2,6,2,2,2,2,2,2,2,1,2,2,3,0,1,1,1,3,2,2,1,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,198722127,0.183241410734857,2,70,1,5,2,2,0,0,0,0,0,0,4,5,4,4,0,2,3,0,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,1,5,2,2,2,5,2,2,2,2,2,1,2,3,2,2,4,0,2,2,1,1,2,3,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,123614342,0.594567033263628,1,44,2,5,1,2,1,0,1,1,0,1,1,4,4,4,1,4,3,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,4,2,2,2,2,2,2,1,2,2,2,4,1,1,1,1,1,1,2,1,2,2,2,1,1
2024,"Sri Lanka","LKA","South Asia",17109247,171386174,2.07184087528518,1,53,2,3,1,1,1,0,1,1,1,0,2,4,4,4,0,2,3,0,1,1,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,7,1,6,2,2,2,4,2,2,2,2,1,1,1,2,2,2,3,1,1,1,2,1,1,2,1,2,2,2,2,1
2024,"Sri Lanka","LKA","South Asia",17109247,127027277,1.52564344745469,2,63,2,2,1,2,1,0,1,1,1,0,4,4,4,2,0,4,3,0,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,4,1,2,2,2,2,4,2,2,2,2,2,2,2,2,2,1,4,0,2,2,1,1,2,2,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,154187873,1.27667431199321,2,64,2,3,2,2,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,6,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,0,1,1,1,1,1,4,1,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,166615421,1.13714171690039,2,42,2,3,1,2,0,0,0,0,1,0,2,4,4,4,0,4,3,0,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,1,1,1,2,2,4,2,2,2,2,2,2,1,2,2,2,4,0,1,2,2,1,2,2,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,204384725,0.67666656896364,1,58,1,1,2,1,0,0,0,0,1,0,4,4,4,2,0,2,1,0,2,2,1,3,3,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,4,1,1,1,2,2,4,2,2,1,1,2,1,2,2,2,1,5,0,2,2,1,1,2,2,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,185752202,1.44469524278022,1,56,1,2,2,2,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,2,2,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,4,1,1,1,2,1,2,2,1,2,2,2,1,2
2024,"Sri Lanka","LKA","South Asia",17109247,197110390,0.572646450868288,1,36,2,3,1,1,1,0,1,1,1,0,5,4,4,4,0,2,3,0,1,1,1,2,2,2,2,2,3,2,2,2,2,2,1,1,1,2,1,2,5,1,5,2,2,2,4,2,2,2,2,2,1,3,2,2,2,4,0,1,2,1,1,1,2,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,142727437,0.927974295856126,2,42,1,4,1,2,1,0,1,0,1,1,4,4,4,4,0,2,1,1,2,2,1,4,4,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,4,1,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2,4,1,1,2,1,1,1,2,2,2,1,2,2,1
2024,"Sri Lanka","LKA","South Asia",17109247,160966631,0.444901592264533,1,52,2,2,1,1,1,0,1,0,1,0,4,4,4,4,0,4,3,0,2,2,1,4,4,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,7,1,5,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,0,2,2,2,1,1,2,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,192398219,1.08019520604873,2,42,2,3,1,2,1,0,1,1,1,0,1,4,4,4,0,2,3,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,5,1,1,2,2,2,4,2,2,2,2,2,1,1,2,2,2,3,0,1,2,1,1,2,1,2,2,2,2,2,2
2024,"Sri Lanka","LKA","South Asia",17109247,166857722,1.0003612929518,1,45,1,5,1,2,1,0,1,0,1,0,2,4,4,4,0,1,3,1,1,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,8,1,1,1,2,2,4,2,2,2,2,2,1,1,2,2,2,4,1,1,1,1,1,2,2,1,2,2,2,1,2
2024,"Sri Lanka","LKA","South Asia",17109247,141272012,1.70670381459874,1,16,2,5,2,1,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,2,2,3,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,1,2,2,2,4,2,2,2,2,1,2,2,2,2,2,5,1,1,1,2,1,1,2,1,2,2,2,1,2
2024,"Sri Lanka","LKA","South Asia",17109247,120608129,1.58835416493635,2,38,2,2,1,1,1,0,1,1,1,1,1,4,4,2,1,2,3,1,1,1,1,2,3,1,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2,2,4,1,1,1,4,2,2,2,2,2,1,1,2,2,1,6,1,1,1,1,1,1,1,1,2,2,2,1,2
